日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,300142,54.87,55.02,55.91,54.24,235258,1299411632.0,2.97,-2.0,-1.12,1.52
2022-01-05,300142,54.6,53.14,55.16,53.08,233714,1261763632.0,3.78,-3.42,-1.88,1.51
2022-01-06,300142,52.54,56.98,58.64,52.48,483482,2703506352.0,11.59,7.23,3.84,3.13
2022-01-07,300142,56.92,58.59,59.36,55.54,396969,2301795232.0,6.7,2.83,1.61,2.57
2022-01-10,300142,58.93,58.81,61.25,58.65,335504,2015675712.0,4.44,0.38,0.22,2.17
2022-01-11,300142,58.99,59.99,61.06,57.69,272025,1623053552.0,5.73,2.01,1.18,1.76
2022-01-12,300142,60.03,60.33,61.17,59.19,229786,1386030960.0,3.3,0.57,0.34,1.49
2022-01-13,300142,60.81,57.94,60.92,57.13,314640,1839864864.0,6.28,-3.96,-2.39,2.04
2022-01-14,300142,56.92,57.19,58.55,55.32,314256,1784012048.0,5.57,-1.29,-0.75,2.04
2022-01-17,300142,55.74,55.34,56.79,54.74,251115,1393109424.0,3.58,-3.23,-1.85,1.63
2022-01-18,300142,54.95,55.25,56.1,54.05,197988,1097238544.0,3.7,-0.16,-0.09,1.28
2022-01-19,300142,53.94,53.24,54.24,53.24,204238,1097494176.0,1.81,-3.64,-2.01,1.32
2022-01-20,300142,54.83,53.87,56.13,53.82,273913,1509154000.0,4.34,1.18,0.63,1.77
2022-01-21,300142,53.29,54.4,56.43,51.94,332374,1806147632.0,8.33,0.98,0.53,2.15
2022-01-24,300142,53.44,52.54,54.92,52.45,189798,1015390592.0,4.54,-3.42,-1.86,1.23
2022-01-25,300142,52.21,49.78,52.45,49.72,246706,1255092976.0,5.2,-5.25,-2.76,1.6
2022-01-26,300142,49.74,48.78,50.49,48.5,198788,982358480.0,4.0,-2.01,-1.0,1.29
2022-01-27,300142,49.74,48.23,49.74,47.83,194304,946486016.0,3.92,-1.13,-0.55,1.26
2022-01-28,300142,49.34,48.14,50.04,48.03,186308,908675696.0,4.17,-0.19,-0.09,1.21
